Filename,Storm,Storm_ID,Storm_Datetime,Storm_Epoch,Lat,Lon,Intensity_ms,MSLP_hPa,TC_Category,Observation_Variables,Observation_Groups,Group_Counts_JSON,incv_kt,dtl_km,shrd_kt,shtd_deg,rhmd_pct,vmpi_kt
HRDOBS_ETA29L.202011100000_AI_READY.hdf5,ETA,ETA29L,2020-11-10T00:00:00Z,1604966400,23.399999618530273,-85.0,23.149980545043945,995.0,TS,"cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, sddc_deg, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","flight_level_hdobs_usaf, sfmr_usaf, ships_params, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 66, ""sfmr_usaf"": 35, ""ships_params"": 1, ""track_best_track"": 3, ""track_spline_track"": 361}",0.0,125.0,12.3,113.0,47.0,142.0
HRDOBS_ZETA28L.202010251200_AI_READY.hdf5,ZETA,ZETA28L,2020-10-25T12:00:00Z,1603627200,17.799999237060547,-83.5999984741211,23.149980545043945,1003.0,TS,"az, cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, elev, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, rvel, rvelerr, sddc_deg, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","flight_level_hdobs_noaa42, sfmr_noaa42, ships_params, tdr_noaa42, track_best_track","{""flight_level_hdobs_noaa42"": 517, ""sfmr_noaa42"": 353, ""ships_params"": 1, ""tdr_noaa42"": 54271, ""track_best_track"": 3}",5.0,230.0,11.5,136.0,71.0,161.0
HRDOBS_ETA29L.202011090000_AI_READY.hdf5,ETA,ETA29L,2020-11-09T00:00:00Z,1604880000,24.5,-80.0999984741211,28.29442024230957,993.0,TS,"az, cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, elev, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, rvel, rvelerr, sddc_deg, sfcdir, sfcp, sfcspd, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","dropsonde_noaa42, flight_level_hdobs_noaa42, sfmr_noaa42, ships_params, tdr_noaa42, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa42"": 153, ""flight_level_hdobs_noaa42"": 362, ""sfmr_noaa42"": 239, ""ships_params"": 1, ""tdr_noaa42"": 42155, ""track_best_track"": 4, ""track_spline_track"": 363, ""track_vortex_message"": 2}",0.0,95.0,29.9,80.0,59.0,135.0
HRDOBS_CRISTOBAL03L.202006060600_AI_READY.hdf5,CRISTOBAL,CRISTOBAL03L,2020-06-06T06:00:00Z,1591423200,23.0,-90.0999984741211,25.722200393676758,994.0,TS,"cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, sddc_deg, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","flight_level_hdobs_noaa43, sfmr_noaa43, ships_params, track_best_track, track_spline_track","{""flight_level_hdobs_noaa43"": 100, ""sfmr_noaa43"": 83, ""ships_params"": 1, ""track_best_track"": 3, ""track_spline_track"": 362}",0.0,193.0,13.9,80.0,65.0,119.0
HRDOBS_TEDDY20L.202009180000_AI_READY.hdf5,TEDDY,TEDDY20L,2020-09-18T00:00:00Z,1600387200,20.399999618530273,-54.400001525878906,61.733280181884766,945.0,H4,"az, cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, elev, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, rvel, rvelerr, sddc_deg, sfcdir, sfcp, sfcspd, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, w, werr, z850_1e7_per_s","dropsonde_noaa43, dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, ships_params, tdr_noaa43, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa43"": 1453, ""dropsonde_usaf"": 132, ""flight_level_hdobs_noaa43"": 704, ""flight_level_hdobs_usaf"": 259, ""sfmr_noaa43"": 637, ""sfmr_usaf"": 173, ""ships_params"": 1, ""tdr_noaa43"": 67916, ""track_best_track"": 3, ""track_spline_track"": 363, ""track_vortex_message"": 3}",5.0,830.0,15.1,62.0,47.0,131.0
HRDOBS_CRISTOBAL03L.202006021800_AI_READY.hdf5,CRISTOBAL,CRISTOBAL03L,2020-06-02T18:00:00Z,1591120800,19.200000762939453,-92.5999984741211,20.5777587890625,1001.0,TS,"cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, sddc_deg, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","flight_level_hdobs_usaf, sfmr_usaf, ships_params, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 366, ""sfmr_usaf"": 327, ""ships_params"": 1, ""track_best_track"": 3, ""track_spline_track"": 279}",5.0,62.0,14.6,97.0,81.0,158.0
HRDOBS_PAULETTE17L.202009131200_AI_READY.hdf5,PAULETTE,PAULETTE17L,2020-09-13T12:00:00Z,1599998400,29.600000381469727,-61.400001525878906,36.011077880859375,976.0,H1,"cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, sddc_deg, sfcdir, sfcp, sfcspd, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","flight_level_hdobs_usaf, sfmr_usaf, ships_params, track_best_track, track_spline_track, track_vortex_message","{""flight_level_hdobs_usaf"": 616, ""sfmr_usaf"": 419, ""ships_params"": 1, ""track_best_track"": 3, ""track_spline_track"": 363, ""track_vortex_message"": 2}",5.0,1241.0,7.1,61.0,36.0,138.0
HRDOBS_ARTHUR01L.202005181800_AI_READY.hdf5,ARTHUR,ARTHUR01L,2020-05-18T18:00:00Z,1589824800,35.5,-74.69999694824219,23.149980545043945,993.0,TS,"cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, sddc_deg, sfcdir, sfcp, sfcspd, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, ships_params, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 51, ""flight_level_hdobs_usaf"": 347, ""sfmr_usaf"": 162, ""ships_params"": 1, ""track_best_track"": 3, ""track_spline_track"": 180, ""track_vortex_message"": 2}",0.0,95.0,34.1,67.0,64.0,17.0
HRDOBS_TEDDY20L.202009171200_AI_READY.hdf5,TEDDY,TEDDY20L,2020-09-17T12:00:00Z,1600344000,18.899999618530273,-52.79999923706055,51.444400787353516,960.0,H3,"az, cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, elev, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, rvel, rvelerr, sddc_deg, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","dropsonde_noaa42, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_noaa42, ships_params, tdr_noaa42, track_best_track, track_spline_track","{""dropsonde_noaa42"": 55, ""flight_level_hdobs_noaa42"": 200, ""flight_level_hdobs_usaf"": 40, ""sfmr_noaa42"": 197, ""ships_params"": 1, ""tdr_noaa42"": 23434, ""track_best_track"": 3, ""track_spline_track"": 80}",10.0,953.0,13.0,79.0,48.0,128.0
HRDOBS_ISAIAS09L.202007311200_AI_READY.hdf5,ISAIAS,ISAIAS09L,2020-07-31T12:00:00Z,1596196800,21.299999237060547,-74.0,33.43885803222656,992.0,H1,"az, cd20_m, cd26_m, clat, clon, cohc_kjcm2, csst_degc, d200_1e7_per_s, dsst_degc, dtl_km, elev, ght, incv_kt, lat, lon, nage_hr, nohc_kjcm2, nsst_degc, oage_hr, p, penc_hpa, penv_hpa, pmin, pres, q, qerr, rhhi_pct, rhlo_pct, rhmd_pct, rmw, rr, rvel, rvelerr, sddc_deg, sfcdir, sfcp, sfcspd, shdc_kt, shrd_kt, shtd_deg, spd, spderr, t, terr, time, type, u, u200_kt, uerr, v, verr, vmax, vmpi_kt, z850_1e7_per_s","dropsonde_noaa43, dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, ships_params, tdr_noaa43, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa43"": 230, ""dropsonde_usaf"": 265, ""flight_level_hdobs_noaa43"": 615, ""flight_level_hdobs_usaf"": 731, ""sfmr_noaa43"": 347, ""sfmr_usaf"": 431, ""ships_params"": 1, ""tdr_noaa43"": 40400, ""track_best_track"": 4, ""track_spline_track"": 363, ""track_vortex_message"": 3}",-5.0,44.0,23.8,93.0,51.0,151.0
