Filename,Storm,Storm_ID,Storm_Datetime,Storm_Epoch,Lat,Lon,Intensity_ms,MSLP_hPa,TC_Category,Observation_Variables,Observation_Groups,Group_Counts_JSON
HRDOBS_ELSA05L.202107031800_AI_READY.hdf5,ELSA,ELSA05L,2021-07-03T18:00:00Z,1625335200,  7.30, -82.80,30.866640090942383,1002.0,TS,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa42, dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_noaa42, sfmr_usaf, tdr_noaa42, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa42"": 1175, ""dropsonde_usaf"": 76, ""flight_level_hdobs_noaa42"": 660, ""flight_level_hdobs_noaa49"": 40, ""flight_level_hdobs_usaf"": 393, ""sfmr_noaa42"": 631, ""sfmr_usaf"": 355, ""tdr_noaa42"": 55431, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 2}"
HRDOBS_ELSA05L.202107021800_AI_READY.hdf5,ELSA,ELSA05L,2021-07-02T18:00:00Z,1625248800,  3.80, -72.40,38.58329772949219,991.0,HU,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa42, dropsonde_noaa49, flight_level_hdobs_noaa42, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_noaa42, tdr_noaa42, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa42"": 296, ""dropsonde_noaa49"": 1485, ""flight_level_hdobs_noaa42"": 686, ""flight_level_hdobs_noaa49"": 240, ""flight_level_hdobs_usaf"": 129, ""sfmr_noaa42"": 539, ""tdr_noaa42"": 64156, ""track_best_track"": 3, ""track_spline_track"": 333, ""track_vortex_message"": 2}"
HRDOBS_HENRI08L.202108200600_AI_READY.hdf5,HENRI,HENRI08L,2021-08-20T06:00:00Z,1629439200, 20.00, -82.80,28.29442024230957,995.0,TS,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rvel, rvelerr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa49, flight_level_hdobs_noaa49, tdr_noaa49, track_best_track, track_spline_track","{""dropsonde_noaa49"": 2366, ""flight_level_hdobs_noaa49"": 38, ""tdr_noaa49"": 3810, ""track_best_track"": 3, ""track_spline_track"": 361}"
HRDOBS_HENRI08L.202108210600_AI_READY.hdf5,HENRI,HENRI08L,2021-08-21T06:00:00Z,1629525600, 22.50, -83.40,30.866640090942383,993.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa49, dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa49"": 2193, ""dropsonde_usaf"": 68, ""flight_level_hdobs_noaa42"": 140, ""flight_level_hdobs_noaa49"": 46, ""flight_level_hdobs_usaf"": 466, ""sfmr_usaf"": 187, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 2}"
HRDOBS_FRED06L.202108121800_AI_READY.hdf5,FRED,FRED06L,2021-08-12T18:00:00Z,1628791200, 11.10, -85.00,15.433320045471191,1010.0,TD,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa42, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa42"": 50, ""flight_level_hdobs_noaa42"": 117, ""flight_level_hdobs_usaf"": 291, ""sfmr_usaf"": 225, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 3}"
HRDOBS_FRED06L.202108131800_AI_READY.hdf5,FRED,FRED06L,2021-08-13T18:00:00Z,1628877600, 12.10, -89.10,15.433320045471191,1011.0,TD,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, track_best_track, track_spline_track","{""dropsonde_usaf"": 41, ""flight_level_hdobs_noaa43"": 480, ""flight_level_hdobs_noaa49"": 340, ""flight_level_hdobs_usaf"": 341, ""sfmr_noaa43"": 62, ""sfmr_usaf"": 101, ""track_best_track"": 3, ""track_spline_track"": 361}"
HRDOBS_HENRI08L.202108201800_AI_READY.hdf5,HENRI,HENRI08L,2021-08-20T18:00:00Z,1629482400, 20.80, -83.80,30.866640090942383,994.0,TS,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rvel, rvelerr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa42, dropsonde_noaa49, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, tdr_noaa49, track_best_track, track_spline_track","{""dropsonde_noaa42"": 21, ""dropsonde_noaa49"": 2183, ""flight_level_hdobs_noaa42"": 120, ""flight_level_hdobs_usaf"": 18, ""tdr_noaa49"": 3234, ""track_best_track"": 3, ""track_spline_track"": 364}"
HRDOBS_HENRI08L.202108211800_AI_READY.hdf5,HENRI,HENRI08L,2021-08-21T18:00:00Z,1629568800, 25.40, -81.80,33.43885803222656,990.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track","{""dropsonde_usaf"": 12, ""flight_level_hdobs_noaa42"": 177, ""flight_level_hdobs_usaf"": 319, ""sfmr_usaf"": 259, ""track_best_track"": 3, ""track_spline_track"": 363}"
HRDOBS_SAM18L.202109280600_AI_READY.hdf5,SAM,SAM18L,2021-09-28T06:00:00Z,1632808800,  7.00, -63.50,59.16106033325195,952.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 210, ""flight_level_hdobs_noaa42"": 20, ""flight_level_hdobs_usaf"": 717, ""sfmr_usaf"": 664, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 2}"
HRDOBS_SAM18L.202109290600_AI_READY.hdf5,SAM,SAM18L,2021-09-29T06:00:00Z,1632895200,  8.60, -65.90,59.16106033325195,952.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa42, dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa42"": 42, ""dropsonde_usaf"": 230, ""flight_level_hdobs_noaa42"": 140, ""flight_level_hdobs_usaf"": 691, ""sfmr_usaf"": 355, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 4}"
HRDOBS_FRED06L.202108130600_AI_READY.hdf5,FRED,FRED06L,2021-08-13T06:00:00Z,1628834400, 11.80, -86.20,18.005538940429688,1010.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa42, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track","{""dropsonde_noaa42"": 38, ""flight_level_hdobs_noaa42"": 120, ""flight_level_hdobs_usaf"": 128, ""sfmr_usaf"": 102, ""track_best_track"": 3, ""track_spline_track"": 363}"
